id;title;author;publication_year;genre;price;quantity_in_stock
1;Table Fish;Dynamic programming;17159;real-time;98206;89889
2;Lilangeni transmit synthesizing;Concrete Mouse;51293;Designer connect;55737;30968
3;ADP synthesizing Developer;Representative parsing;26287;driver Soft Books;74488;60548
4;bleeding-edge Georgia Generic;Mouse programming cross-platform;97887;XML Developer Fish;45473;64192
5;payment Shoes;grow Chicken generate;47825;Tools CSS;76477;36267
6;Escudo;Account;73421;SQL Product;92808;62680
7;Books transmitter;next-generation;93660;channels;52221;23973
8;Shoes Director Nebraska;primary e-tailers;40862;silver monitor Alaska;57315;71873
9;and solid;calculate withdrawal;5998;Account Andorra blue;88197;70417
10;Planner EXE New;payment optical channels;10023;Quality;41132;58638
